createdAt,id,lang,text
Thu Mar 29 11:28:20 KST 2018,979183447544545280,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:28:16 KST 2018,979183427478986753,ko,RT @OEM_OMG: 또다시 짙은안개가 맨덜리 전체를 집어삼키려나봅니다 날씨핑계따위 둘러대지말아요 댄버스 부인 어떻게 이 미세먼지를 보고 그런 개소리를
Thu Mar 29 11:28:15 KST 2018,979183424547184640,ko,RT @WannaOne_twt: [#워너원데이] 추운 날씨에도 저희를 보러 와 주신 뷰리풀한 우리 워너블! 정말 고마워요😭👍🏻 행복한 하루를 보낼 수 있게 해준 워너블 너무 고맙습니다💕 내일 우리 또 봐요😍 https://t.co/j8oFmLcTgD
Thu Mar 29 11:28:07 KST 2018,979183391055667200,ko,RT @buraldang06: 기분조은 날씨와 재호현수 ~ (•‾⌣‾•)و ̑̑♡ https://t.co/MS7g429adj
Thu Mar 29 11:28:04 KST 2018,979183379450122240,ko,RT @mysticRFA_ZEN: 앨범 보다가 찾았는데 수중씬 찍은게 있더라구 이런 날씨엔 수중씬은 커녕 노출씬도 힘들지만 ^^; 어때?  #수상한메신저 #Mysticmessenger https://t.co/bbTOex0boU
Thu Mar 29 11:27:50 KST 2018,979183318590566400,ko,허어윽  콧물 감기 걸렸다 이 따듯한 날씨에😂😂😂
Thu Mar 29 11:27:46 KST 2018,979183303075889152,ko,날씨 개따뜻하다 좀 더운것같은데 이제
Thu Mar 29 11:27:45 KST 2018,979183300681052160,ko,RT @offclASTRO: 재밌었던 예스터데이😛😛😛 #날씨 #조으다 #아로하 #모해요 https://t.co/R6gHgxKRXs
Thu Mar 29 11:27:45 KST 2018,979183297342332929,ko,3월29일-계절의 전령  지난해 3월 말엔 날씨가 꽤 따뜻했던 것으로 기억한다. 하지만 올해는 ... RT @ELLE_KOREA &lt엘르&gt와 함께하는 출석체크 3월 Start! #엘르코리아 https://t.co/w9f08BIt65
Thu Mar 29 11:27:30 KST 2018,979183237707649025,ko,RT @King_of_10duck: 대체 이 날씨에 파카 입은 사람은 무엇이야... https://t.co/YjCMNG1bh2
Thu Mar 29 11:27:28 KST 2018,979183229688164352,ko,RT @NCTsmtown: 봄과 어울리는 터치!  127과 어울리는 시즈니! 일요일과 어울리는 날씨! 여러분 오늘두 해피해피^^ - 맠 https://t.co/Yty8TUFjM8
Thu Mar 29 11:27:26 KST 2018,979183218422419456,ko,RT @mysticRFA_ZEN: 이걸 입고 나가기엔 아직 좀 더운날씨긴 하네; https://t.co/lR2rR2Dtdf
Thu Mar 29 11:27:24 KST 2018,979183212290220032,ko,내일 날씨가 궁금하면 나나 콴을 보면 됨. 비가 올 예정이면 둘 다 반쯤 죽어있음ㅋ
